timestamp,rollspeed,pitchspeed,yawspeed,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
4188692,-0.00588259,0.00267254,0.00326632,0.0,0.0,0.0,0.0
4192626,-0.00640909,0.00298065,0.00522929,0.0,0.0,0.0,0.0
4224660,-0.00489146,0.00260595,0.00268536,0.0,0.0,0.0,0.0
4256660,-0.00643045,0.00360342,0.00530175,0.0,0.0,0.0,0.0
4288634,-0.00591855,0.00205067,0.00543401,0.0,0.0,0.0,0.0
4320625,-0.00540983,0.00553323,0.00203015,0.0,0.0,0.0,0.0
4348623,-0.00434218,0.00453414,0.00474368,0.0,0.0,0.0,0.0
4380637,-0.00480812,0.00432245,0.00760781,0.0,0.0,0.0,0.0
4412645,-0.0080408,0.00275592,0.00512786,0.0,0.0,0.0,0.0
4444646,-0.00666405,0.00223575,0.00422013,0.0,0.0,0.0,0.0
4478255,-0.00721359,0.00264734,0.00449404,0.0,0.0,0.0,0.0
4506269,-0.0047442,0.00277306,0.0045982,0.0,0.0,0.0,0.0
4538260,-0.00597257,0.00276136,0.00419777,0.0,0.0,0.0,0.0
4570227,-0.00790764,0.00545866,0.00349795,0.0,0.0,0.0,0.0
4602231,-0.00623318,0.0035065,0.003825,0.0,0.0,0.0,0.0
4635100,-0.00535929,0.0044282,0.00514886,0.0,0.0,0.0,0.0
4667062,-0.00588545,0.00350729,0.00417754,0.0,0.0,0.0,0.0
4699096,-0.00626791,0.00446951,0.00376269,0.0,0.0,0.0,0.0
4731021,-0.00618624,0.00413226,0.00239921,0.0,0.0,0.0,0.0
4763074,-0.00299556,0.00385606,0.00528573,0.0,0.0,0.0,0.0
4795022,-0.00510217,0.00264051,0.00616583,0.0,0.0,0.0,0.0
4827035,-0.00699767,0.00427191,0.00356818,0.0,0.0,0.0,0.0
4859009,-0.00433803,0.00351934,0.00224868,0.0,0.0,0.0,0.0
4891024,-0.00563067,0.00350555,0.00407649,0.0,0.0,0.0,0.0
4918995,-0.00615962,0.00302952,0.00441406,0.0,0.0,0.0,0.0
4951069,-0.00857273,0.00331535,0.00415678,0.0,0.0,0.0,0.0
4983076,-0.00632308,0.00334692,0.00318892,0.0,0.0,0.0,0.0
5015070,-0.00487148,0.0042251,0.00480187,0.0,0.0,0.0,0.0
5047040,-0.00605335,0.0048091,0.00574195,0.0,0.0,0.0,0.0
5079067,-0.00546694,0.00531507,0.0031134,0.0,0.0,0.0,0.0
5111097,-0.0056403,0.00349016,0.00202837,0.0,0.0,0.0,0.0
5143051,-0.00873536,0.00498739,0.00357582,0.0,0.0,0.0,0.0
5171069,-0.00542637,0.00357317,0.00471525,0.0,0.0,0.0,0.0
5203067,-0.00827865,0.00277063,0.00489336,0.0,0.0,0.0,0.0
5235022,-0.00708652,0.00252329,0.00432551,0.0,0.0,0.0,0.0
5267077,-0.00856209,0.00465159,0.00413176,0.0,0.0,0.0,0.0
5299051,-0.00633831,0.00457391,0.00284986,0.0,0.0,0.0,0.0
5331074,-0.00452271,0.00641239,0.00391004,0.0,0.0,0.0,0.0
5363036,-0.00591875,0.00391925,0.00346,0.0,0.0,0.0,0.0
5395037,-0.008513,0.00375855,0.00573488,0.0,0.0,0.0,0.0
5427061,-0.00624755,0.00161258,0.0040552,0.0,0.0,0.0,0.0
5459017,-0.00705888,0.00430996,0.00457841,0.0,0.0,0.0,0.0
5491037,-0.00436741,0.00424739,0.00384449,0.0,0.0,0.0,0.0
5523042,-0.00440744,0.00502572,0.0035451,0.0,0.0,0.0,0.0
5555065,-0.0052468,0.0043325,0.00522205,0.0,0.0,0.0,0.0
5586994,-0.0068933,0.00275108,0.00515048,0.0,0.0,0.0,0.0
5619017,-0.00420388,0.0042848,0.00386704,0.0,0.0,0.0,0.0
5646990,-0.0039054,0.00353127,0.00612348,0.0,0.0,0.0,0.0
5678990,-0.00644971,0.00377769,0.00684496,0.0,0.0,0.0,0.0
5711032,-0.00635018,0.00323775,0.0057989,0.0,0.0,0.0,0.0
5743047,-0.00792041,0.00432394,0.00479315,0.0,0.0,0.0,0.0
5775020,-0.00453315,0.00281141,0.00488029,0.0,0.0,0.0,0.0
5807030,-0.00402971,0.0047777,0.00524637,0.0,0.0,0.0,0.0
