timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
4480678,4480678,0,0,0,4,0,0,0,0,0,0,0
5484661,5484661,0,0,0,4,0,0,0,0,0,0,0
6482272,6482272,0,0,0,4,0,0,0,0,0,0,0
7484096,7484096,0,0,0,4,0,0,0,0,0,0,0
8488208,8488208,0,0,0,4,0,0,0,0,0,0,0
9487787,9487787,0,0,0,4,0,0,0,0,0,0,0
10489730,10489730,0,0,0,4,0,0,0,0,0,0,0
11481747,11481747,0,0,0,4,0,0,0,0,0,0,0
12476334,12476334,0,0,0,4,0,0,0,0,0,0,0
13480868,13480868,0,0,0,4,0,0,0,0,0,0,0
14484004,14484004,0,0,0,4,0,0,0,0,0,0,0
15481550,15481550,0,0,0,4,0,0,0,0,0,0,0
16486399,16486399,0,0,0,4,0,0,0,0,0,0,0
17485510,17485510,0,0,0,4,0,0,0,0,0,0,0
18480042,18480042,0,0,0,4,0,0,0,0,0,0,0
19480351,19480351,0,0,0,4,0,0,0,0,0,0,0
20492811,20492811,0,0,0,4,0,0,0,0,0,0,0
21485765,21485765,0,0,0,4,0,0,0,0,0,0,0
22482442,22482442,0,0,0,4,0,0,0,0,0,0,0
23479350,23479350,0,0,0,4,0,0,0,0,0,0,0
24566704,24566704,0,0,0,4,0,0,0,0,0,0,0
25477175,25477175,0,0,0,4,0,0,0,0,0,0,0
26484225,26484225,0,0,0,4,0,0,0,0,0,0,0
27485812,27485812,0,0,0,4,0,0,0,0,0,0,0
28489689,28489689,0,0,0,4,0,0,0,0,0,0,0
29489379,29489379,0,0,0,4,0,0,0,0,0,0,0
30485651,30485651,0,0,0,4,0,0,0,0,0,0,0
31485847,31485847,0,0,0,4,0,0,0,0,0,0,0
32485955,32485955,0,0,0,4,0,0,0,0,0,0,0
33484073,33484073,0,0,0,4,0,0,0,0,0,0,0
34481864,34481864,0,0,0,4,0,0,0,0,0,0,0
35484888,35484888,0,0,0,4,0,0,0,0,0,0,0
36485802,36485802,0,0,0,4,0,0,0,0,0,0,0
37485462,37485462,0,0,0,4,0,0,0,0,0,0,0
38485503,38485503,0,0,0,4,0,0,0,0,0,0,0
39492928,39492928,0,0,0,4,0,0,0,0,0,0,0
40483785,40483785,0,0,0,4,0,0,0,0,0,0,0
41484352,41484352,0,0,0,4,0,0,0,0,0,0,0
42484154,42484154,0,0,0,4,0,0,0,0,0,0,0
43484310,43484310,0,0,0,4,0,0,0,0,0,0,0
44484725,44484725,0,0,0,4,0,0,0,0,0,0,0
45483536,45483536,0,0,0,4,0,0,0,0,0,0,0
46483954,46483954,0,0,0,4,0,0,0,0,0,0,0
47482148,47482148,0,0,0,4,0,0,0,0,0,0,0
48481927,48481927,0,0,0,4,0,0,0,0,0,0,0
49476766,49476766,0,0,0,4,0,0,0,0,0,0,0
50484676,50484676,0,0,0,4,0,0,0,0,0,0,0
51480778,51480778,0,0,0,4,0,0,0,0,0,0,0
52483736,52483736,0,0,0,4,0,0,0,0,0,0,0
53486393,53486393,0,0,0,4,0,0,0,0,0,0,0
54572949,54572949,0,0,0,4,0,0,0,0,0,0,0
55482233,55482233,0,0,0,4,0,0,0,0,0,0,0
56482962,56482962,0,0,0,4,0,0,0,0,0,0,0
57483413,57483413,0,0,0,4,0,0,0,0,0,0,0
58485417,58485417,0,0,0,4,0,0,0,0,0,0,0
59482521,59482521,0,0,0,4,0,0,0,0,0,0,0
60486353,60486353,0,0,0,4,0,0,0,0,0,0,0
61485908,61485908,0,0,0,4,0,0,0,0,0,0,0
