timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
8848061,0.0,0.0,0.0,0.00082552,0.000908222,0.0507507,0.0,0.0,0.0,0.037208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266064,0.266095,4.12126,0.0,0.0,0.0,0.0915702,0.0,0.0,0.0,0.0,0.0,0.00688865,0.00595082,0.00441527,0.0,0.0,0.0,0.0,0.0,0.0
8852127,0.0,0.0,0.0,0.00082552,0.000908222,0.0507507,0.0,0.0,0.0,0.037208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266064,0.266095,4.12126,0.0,0.0,0.0,0.0915702,0.0,0.0,0.0,0.0,0.0,0.00688865,0.00595082,0.00441527,0.0,0.0,0.0,0.0,0.0,0.0
9053760,0.0,0.0,0.0,0.00101017,0.00103513,-0.247498,0.0,0.0,0.0,0.0204682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265859,0.265886,4.1205,0.0,0.0,0.0,0.0915193,0.0,0.0,0.0,0.0,0.0,0.00687559,0.00603491,0.0064458,0.0,0.0,0.0,0.0,0.0,0.0
9257788,0.0,0.0,0.0,0.00129074,0.00117648,-0.0788574,0.0,0.0,0.0,0.0417311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265014,0.265035,4.11722,0.0,0.0,0.0,0.0914651,0.0,0.0,0.0,0.0,0.0,0.00638695,0.00525682,0.00375881,0.0,0.0,0.0,0.0,0.0,0.0
9457780,0.0,0.0,0.0,0.00159982,0.00145388,0.317261,0.0,0.0,0.0,0.00578225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264817,0.264835,4.11611,0.0,0.0,0.0,0.0914205,0.0,0.0,0.0,0.0,0.0,0.00521549,0.00498633,0.00415368,0.0,0.0,0.0,0.0,0.0,0.0
9661754,0.0,0.0,0.0,0.00176914,0.0016814,0.136688,0.0,0.0,0.0,0.0120324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264343,0.264358,4.11381,0.0,0.0,0.0,0.0913787,0.0,0.0,0.0,0.0,0.0,0.00303069,0.00655388,0.00854791,0.0,0.0,0.0,0.0,0.0,0.0
9861676,0.0,0.0,0.0,0.00191039,0.00217326,-0.224457,0.0,0.0,0.0,0.0321812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264486,0.2645,4.11423,0.0,0.0,0.0,0.0913391,0.0,0.0,0.0,0.0,0.0,0.00112548,0.00533866,0.0068855,0.0,0.0,0.0,0.0,0.0,0.0
10065725,0.0,0.0,0.0,0.00179654,0.00276814,-0.0820923,0.0,0.0,0.0,0.0128251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.264122,0.264133,4.11287,0.0,0.0,0.0,0.091297,0.0,0.0,0.0,0.0,0.0,0.00312033,0.00544259,0.00659948,0.0,0.0,0.0,0.0,0.0,0.0
10270590,0.0,0.0,0.0,0.00158732,0.00305552,-0.48053,0.0,0.0,0.0,0.00819676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2634,0.263409,4.10956,0.0,0.0,0.0,0.0912579,0.0,0.0,0.0,0.0,0.0,0.00410944,0.00396556,0.00320867,0.0,0.0,0.0,0.0,0.0,0.0
10472139,0.0,0.0,0.0,0.00134595,0.00327532,-0.073822,0.0,0.0,0.0,0.038087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262878,0.262886,4.10666,0.0,0.0,0.0,0.0912206,0.0,0.0,0.0,0.0,0.0,0.00406613,0.00425272,0.0049883,0.0,0.0,0.0,0.0,0.0,0.0
