timestamp,roll,pitch,yaw,thrust
4240601,0.0,0.0,0.0,0.0
4244626,0.0,0.0,0.0,0.0
4276632,0.0,0.0,0.0,0.0
4308624,0.0,0.0,0.0,0.0
4340594,0.0,0.0,0.0,0.0
4372610,0.0,0.0,0.0,0.0
4404645,0.0,0.0,0.0,0.0
4432645,0.0,0.0,0.0,0.0
4465449,0.0,0.0,0.0,0.0
4498236,0.0,0.0,0.0,0.0
4530243,0.0,0.0,0.0,0.0
4562205,0.0,0.0,0.0,0.0
4590204,0.0,0.0,0.0,0.0
4622998,0.0,0.0,0.0,0.0
4655095,0.0,0.0,0.0,0.0
4687021,0.0,0.0,0.0,0.0
4719038,0.0,0.0,0.0,0.0
4750997,0.0,0.0,0.0,0.0
4778978,0.0,0.0,0.0,0.0
4810971,0.0,0.0,0.0,0.0
4843038,0.0,0.0,0.0,0.0
4875017,0.0,0.0,0.0,0.0
4907005,0.0,0.0,0.0,0.0
4938995,0.0,0.0,0.0,0.0
4971063,0.0,0.0,0.0,0.0
5003069,0.0,0.0,0.0,0.0
5031051,0.0,0.0,0.0,0.0
5063057,0.0,0.0,0.0,0.0
5095012,0.0,0.0,0.0,0.0
5127006,0.0,0.0,0.0,0.0
5159101,0.0,0.0,0.0,0.0
5191024,0.0,0.0,0.0,0.0
5223032,0.0,0.0,0.0,0.0
5255019,0.0,0.0,0.0,0.0
5282999,0.0,0.0,0.0,0.0
5314994,0.0,0.0,0.0,0.0
5347026,0.0,0.0,0.0,0.0
5378990,0.0,0.0,0.0,0.0
5411034,0.0,0.0,0.0,0.0
5442987,0.0,0.0,0.0,0.0
5475063,0.0,0.0,0.0,0.0
5507056,0.0,0.0,0.0,0.0
5539016,0.0,0.0,0.0,0.0
5570962,0.0,0.0,0.0,0.0
5603042,0.0,0.0,0.0,0.0
5634962,0.0,0.0,0.0,0.0
5666973,0.0,0.0,0.0,0.0
5698967,0.0,0.0,0.0,0.0
5731036,0.0,0.0,0.0,0.0
5759014,0.0,0.0,0.0,0.0
5791062,0.0,0.0,0.0,0.0
5822986,0.0,0.0,0.0,0.0
5855037,0.0,0.0,0.0,0.0
5886986,0.0,0.0,0.0,0.0
5919059,0.0,0.0,0.0,0.0
5950989,0.0,0.0,0.0,0.0
5982996,0.0,0.0,0.0,0.0
6011850,0.0,0.0,0.0,0.0
6044593,0.0,0.0,0.0,0.0
6076613,0.0,0.0,0.0,0.0
6108620,0.0,0.0,0.0,0.0
6140652,0.0,0.0,0.0,0.0
6172580,0.0,0.0,0.0,0.0
6204569,0.0,0.0,0.0,0.0
6236613,0.0,0.0,0.0,0.0
6268626,0.0,0.0,0.0,0.0
6300646,0.0,0.0,0.0,0.0
6332600,0.0,0.0,0.0,0.0
6364609,0.0,0.0,0.0,0.0
6392641,0.0,0.0,0.0,0.0
6424603,0.0,0.0,0.0,0.0
6456685,0.0,0.0,0.0,0.0
6488591,0.0,0.0,0.0,0.0
6520597,0.0,0.0,0.0,0.0
6552612,0.0,0.0,0.0,0.0
6584635,0.0,0.0,0.0,0.0
6616603,0.0,0.0,0.0,0.0
6644676,0.0,0.0,0.0,0.0
6676592,0.0,0.0,0.0,0.0
6708634,0.0,0.0,0.0,0.0
6740629,0.0,0.0,0.0,0.0
6772629,0.0,0.0,0.0,0.0
6804606,0.0,0.0,0.0,0.0
6836600,0.0,0.0,0.0,0.0
6868610,0.0,0.0,0.0,0.0
6900604,0.0,0.0,0.0,0.0
6932566,0.0,0.0,0.0,0.0
6964573,0.0,0.0,0.0,0.0
6996614,0.0,0.0,0.0,0.0
7028646,0.0,0.0,0.0,0.0
7060598,0.0,0.0,0.0,0.0
7092606,0.0,0.0,0.0,0.0
7120602,0.0,0.0,0.0,0.0
7152602,0.0,0.0,0.0,0.0
7184638,0.0,0.0,0.0,0.0
7216645,0.0,0.0,0.0,0.0
7248617,0.0,0.0,0.0,0.0
7280610,0.0,0.0,0.0,0.0
7312650,0.0,0.0,0.0,0.0
7344636,0.0,0.0,0.0,0.0
7372624,0.0,0.0,0.0,0.0
7404604,0.0,0.0,0.0,0.0
7436598,0.0,0.0,0.0,0.0
7468597,0.0,0.0,0.0,0.0
7500634,0.0,0.0,0.0,0.0
7532630,0.0,0.0,0.0,0.0
7564640,0.0,0.0,0.0,0.0
7596621,0.0,0.0,0.0,0.0
7628683,0.0,0.0,0.0,0.0
7660570,0.0,0.0,0.0,0.0
7693400,0.0,0.0,0.0,0.0
7726245,0.0,0.0,0.0,0.0
7758207,0.0,0.0,0.0,0.0
7790276,0.0,0.0,0.0,0.0
7822227,0.0,0.0,0.0,0.0
7854253,0.0,0.0,0.0,0.0
7886202,0.0,0.0,0.0,0.0
7918268,0.0,0.0,0.0,0.0
7950232,0.0,0.0,0.0,0.0
7978261,0.0,0.0,0.0,0.0
8010195,0.0,0.0,0.0,0.0
8042234,0.0,0.0,0.0,0.0
8074190,0.0,0.0,0.0,0.0
8106278,0.0,0.0,0.0,0.0
8138171,0.0,0.0,0.0,0.0
8170167,0.0,0.0,0.0,0.0
8202175,0.0,0.0,0.0,0.0
8230224,-3.83972,0.186379,-0.0515376,0.0
8262210,-3.83972,0.186385,-0.0515392,0.0
8294259,-3.83972,0.186319,-0.0515212,0.0
8326209,-3.83972,0.186395,-0.0515424,0.0
8358249,-3.83972,0.186698,-0.0516267,0.0
8390222,-3.83972,0.186792,-0.0516522,0.0
8422270,-3.83972,0.186719,-0.0516323,0.0
8454207,-3.83972,0.186897,-0.0516815,0.0
8482272,-3.83972,0.186733,-0.0516362,0.0
8514200,-3.83972,0.186761,-0.051644,0.0
8546220,-3.83972,0.186929,-0.0516907,0.0
8579032,-3.83972,0.186884,-0.0516779,0.0
8611862,-3.83972,0.186936,-0.0516921,0.0
8639924,-3.83972,0.186529,-0.0515792,0.0
8671819,-3.83972,0.186395,-0.0515419,0.0
8703864,-3.83972,0.186444,-0.0515556,0.0
8735786,-3.83972,0.186519,-0.0515758,0.0
8767820,-3.83972,0.18639,-0.0515406,0.0
8799881,-3.83972,0.186419,-0.0515487,0.0
