timestamp,voltage5V_v,voltage3V3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5V_OC,hipower_5V_OC
2929549,4.80015,0.0,0,1,0,1,0,0,0
3429549,4.76953,0.0,0,1,0,1,0,0,0
3929549,4.75181,0.0,0,1,0,1,0,0,0
4429588,4.82432,0.0,0,1,0,1,0,0,0
4929569,4.72441,0.0,0,1,0,1,0,0,0
5429549,4.77114,0.0,0,1,0,1,0,0,0
5929572,4.75825,0.0,0,1,0,1,0,0,0
6429549,4.82109,0.0,0,1,0,1,0,0,0
6929549,4.76147,0.0,0,1,0,1,0,0,0
7429549,4.78403,0.0,0,1,0,1,0,0,0
7939582,4.76147,0.0,0,1,0,1,0,0,0
8439555,4.8356,0.0,0,1,0,1,0,0,0
8939549,4.80176,0.0,0,1,0,1,0,0,0
9439594,4.83237,0.0,0,1,0,1,0,0,0
9939549,4.7647,0.0,0,1,0,1,0,0,0
10439549,4.81626,0.0,0,1,0,1,0,0,0
10939552,4.77759,0.0,0,1,0,1,0,0,0
11439572,4.77598,0.0,0,1,0,1,0,0,0
11939549,4.77275,0.0,0,1,0,1,0,0,0
12439571,4.76953,0.0,0,1,0,1,0,0,0
12949561,4.76953,0.0,0,1,0,1,0,0,0
13449549,4.75986,0.0,0,1,0,1,0,0,0
13949549,4.83398,0.0,0,1,0,1,0,0,0
14449596,4.82915,0.0,0,1,0,1,0,0,0
14949549,4.82915,0.0,0,1,0,1,0,0,0
15459549,4.84204,0.0,0,1,0,1,0,0,0
15959548,4.84526,0.0,0,1,0,1,0,0,0
16459565,4.81465,0.0,0,1,0,1,0,0,0
16969577,4.77114,0.0,0,1,0,1,0,0,0
17469549,4.7792,0.0,0,1,0,1,0,0,0
17969550,4.77436,0.0,0,1,0,1,0,0,0
18469549,4.74214,0.0,0,1,0,1,0,0,0
18969553,4.7647,0.0,0,1,0,1,0,0,0
19479610,4.7647,0.0,0,1,0,1,0,0,0
19979612,4.77275,0.0,0,1,0,1,0,0,0
20479583,4.77114,0.0,0,1,0,1,0,0,0
20979549,4.83882,0.0,0,1,0,1,0,0,0
21479549,4.74858,0.0,0,1,0,1,0,0,0
21979549,4.84204,0.0,0,1,0,1,0,0,0
22479549,4.77759,0.0,0,1,0,1,0,0,0
22989559,4.82754,0.0,0,1,0,1,0,0,0
23489549,4.77759,0.0,0,1,0,1,0,0,0
23989560,4.77436,0.0,0,1,0,1,0,0,0
24489592,4.77759,0.0,0,1,0,1,0,0,0
24989549,4.77436,0.0,0,1,0,1,0,0,0
25489549,4.76792,0.0,0,1,0,1,0,0,0
25999564,4.76792,0.0,0,1,0,1,0,0,0
26499549,4.77114,0.0,0,1,0,1,0,0,0
26999551,4.80981,0.0,0,1,0,1,0,0,0
27499549,4.8227,0.0,0,1,0,1,0,0,0
27999566,4.82754,0.0,0,1,0,1,0,0,0
28499550,4.84526,0.0,0,1,0,1,0,0,0
29009607,4.82109,0.0,0,1,0,1,0,0,0
29509594,4.74214,0.0,0,1,0,1,0,0,0
30009551,4.76953,0.0,0,1,0,1,0,0,0
30509549,4.77598,0.0,0,1,0,1,0,0,0
31009549,4.77759,0.0,0,1,0,1,0,0,0
31509549,4.78242,0.0,0,1,0,1,0,0,0
32009560,4.84365,0.0,0,1,0,1,0,0,0
32509571,4.78242,0.0,0,1,0,1,0,0,0
33009568,4.78242,0.0,0,1,0,1,0,0,0
33509549,4.7792,0.0,0,1,0,1,0,0,0
34009549,4.76953,0.0,0,1,0,1,0,0,0
34509586,4.77598,0.0,0,1,0,1,0,0,0
35019558,4.84204,0.0,0,1,0,1,0,0,0
35519606,4.8227,0.0,0,1,0,1,0,0,0
36019578,4.83882,0.0,0,1,0,1,0,0,0
36519549,4.77114,0.0,0,1,0,1,0,0,0
37019556,4.78081,0.0,0,1,0,1,0,0,0
37519549,4.82593,0.0,0,1,0,1,0,0,0
38019587,4.77598,0.0,0,1,0,1,0,0,0
38519549,4.77436,0.0,0,1,0,1,0,0,0
39019574,4.77436,0.0,0,1,0,1,0,0,0
39529572,4.75825,0.0,0,1,0,1,0,0,0
40029549,4.76792,0.0,0,1,0,1,0,0,0
40529549,4.82593,0.0,0,1,0,1,0,0,0
41029549,4.79531,0.0,0,1,0,1,0,0,0
41539569,4.76792,0.0,0,1,0,1,0,0,0
42039549,4.84365,0.0,0,1,0,1,0,0,0
42539549,4.82915,0.0,0,1,0,1,0,0,0
43039596,4.84526,0.0,0,1,0,1,0,0,0
43539549,4.76147,0.0,0,1,0,1,0,0,0
44039549,4.77759,0.0,0,1,0,1,0,0,0
44539549,4.75825,0.0,0,1,0,1,0,0,0
45039568,4.75503,0.0,0,1,0,1,0,0,0
45539549,4.76309,0.0,0,1,0,1,0,0,0
46039571,4.76147,0.0,0,1,0,1,0,0,0
46539549,4.76309,0.0,0,1,0,1,0,0,0
47039549,4.77114,0.0,0,1,0,1,0,0,0
47539549,4.82915,0.0,0,1,0,1,0,0,0
48039583,4.75825,0.0,0,1,0,1,0,0,0
48539598,4.8356,0.0,0,1,0,1,0,0,0
49049549,4.8501,0.0,0,1,0,1,0,0,0
49549561,4.82754,0.0,0,1,0,1,0,0,0
50049549,4.78081,0.0,0,1,0,1,0,0,0
50549549,4.75503,0.0,0,1,0,1,0,0,0
51049549,4.75181,0.0,0,1,0,1,0,0,0
51549580,4.76953,0.0,0,1,0,1,0,0,0
52049549,4.75664,0.0,0,1,0,1,0,0,0
52549572,4.76792,0.0,0,1,0,1,0,0,0
53049587,4.77114,0.0,0,1,0,1,0,0,0
53549549,4.75664,0.0,0,1,0,1,0,0,0
54059549,4.77436,0.0,0,1,0,1,0,0,0
54559564,4.8227,0.0,0,1,0,1,0,0,0
55059556,4.8227,0.0,0,1,0,1,0,0,0
55559549,4.8356,0.0,0,1,0,1,0,0,0
56069549,4.83398,0.0,0,1,0,1,0,0,0
56569549,4.84687,0.0,0,1,0,1,0,0,0
57069549,4.83076,0.0,0,1,0,1,0,0,0
57569602,4.79048,0.0,0,1,0,1,0,0,0
58069551,4.77759,0.0,0,1,0,1,0,0,0
58569557,4.7647,0.0,0,1,0,1,0,0,0
59069549,4.77598,0.0,0,1,0,1,0,0,0
59569549,4.76147,0.0,0,1,0,1,0,0,0
60069549,4.75503,0.0,0,1,0,1,0,0,0
60579548,4.8356,0.0,0,1,0,1,0,0,0
61079549,4.83882,0.0,0,1,0,1,0,0,0
61579580,4.77114,0.0,0,1,0,1,0,0,0
62079549,4.84204,0.0,0,1,0,1,0,0,0
62579549,4.83398,0.0,0,1,0,1,0,0,0
63089570,4.85171,0.0,0,1,0,1,0,0,0
63589565,4.81465,0.0,0,1,0,1,0,0,0
64089549,4.78081,0.0,0,1,0,1,0,0,0
64589549,4.77114,0.0,0,1,0,1,0,0,0
65089549,4.77759,0.0,0,1,0,1,0,0,0
65589551,4.75342,0.0,0,1,0,1,0,0,0
66089549,4.7502,0.0,0,1,0,1,0,0,0
66589558,4.77436,0.0,0,1,0,1,0,0,0
67089564,4.77759,0.0,0,1,0,1,0,0,0
67599549,4.83237,0.0,0,1,0,1,0,0,0
68099571,4.83882,0.0,0,1,0,1,0,0,0
68599558,4.84849,0.0,0,1,0,1,0,0,0
69099549,4.84365,0.0,0,1,0,1,0,0,0
69599550,4.81465,0.0,0,1,0,1,0,0,0
70099569,4.84526,0.0,0,1,0,1,0,0,0
70599549,4.7647,0.0,0,1,0,1,0,0,0
71109549,4.79531,0.0,0,1,0,1,0,0,0
71609549,4.84204,0.0,0,1,0,1,0,0,0
72109549,4.77598,0.0,0,1,0,1,0,0,0
72609550,4.7647,0.0,0,1,0,1,0,0,0
73109652,4.78081,0.0,0,1,0,1,0,0,0
73609555,4.77759,0.0,0,1,0,1,0,0,0
74109558,4.76309,0.0,0,1,0,1,0,0,0
74609549,4.77759,0.0,0,1,0,1,0,0,0
75119580,4.84365,0.0,0,1,0,1,0,0,0
75619549,4.83882,0.0,0,1,0,1,0,0,0
76129549,4.82109,0.0,0,1,0,1,0,0,0
76629561,4.84526,0.0,0,1,0,1,0,0,0
77129549,4.80981,0.0,0,1,0,1,0,0,0
77629549,4.8356,0.0,0,1,0,1,0,0,0
78129549,4.82915,0.0,0,1,0,1,0,0,0
78629549,4.74858,0.0,0,1,0,1,0,0,0
79129571,4.77114,0.0,0,1,0,1,0,0,0
79629553,4.78081,0.0,0,1,0,1,0,0,0
80129549,4.74697,0.0,0,1,0,1,0,0,0
80629549,4.77114,0.0,0,1,0,1,0,0,0
81129552,4.7647,0.0,0,1,0,1,0,0,0
81639567,4.76147,0.0,0,1,0,1,0,0,0
82139602,4.80659,0.0,0,1,0,1,0,0,0
82639549,4.84526,0.0,0,1,0,1,0,0,0
83139549,4.83237,0.0,0,1,0,1,0,0,0
83649549,4.8356,0.0,0,1,0,1,0,0,0
84149549,4.78081,0.0,0,1,0,1,0,0,0
84649549,4.84204,0.0,0,1,0,1,0,0,0
85149579,4.77275,0.0,0,1,0,1,0,0,0
85649549,4.77598,0.0,0,1,0,1,0,0,0
86159551,4.77275,0.0,0,1,0,1,0,0,0
86659580,4.77114,0.0,0,1,0,1,0,0,0
87159559,4.77759,0.0,0,1,0,1,0,0,0
87659552,4.7647,0.0,0,1,0,1,0,0,0
88159573,4.7792,0.0,0,1,0,1,0,0,0
