timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
4206548,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
4227513,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
4311524,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
4416828,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
4521534,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
4626515,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
4732294,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
4836592,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
4921547,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
5028538,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
5133478,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
5238473,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
5343486,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
5427914,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
5532562,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
5637484,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
5742489,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
5848557,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
5953478,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
6038394,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
6142476,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
6247472,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
6352770,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
6457477,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
6562527,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
6646474,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
6751473,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
6856764,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
6961478,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
7066510,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
7171472,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
