timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
10452160,-0.000711368,0.00602333,0.00178691,0.69124,0.712612,0.0767702,0.0920793,1.0,0.0,0.0,0.0,0
10484072,0.00103792,0.00815128,0.00132541,0.691238,0.712626,0.0767232,0.0920265,1.0,0.0,0.0,0.0,0
10516119,0.000669977,0.0081243,-0.000157528,0.691241,0.712633,0.0766875,0.0919799,1.0,0.0,0.0,0.0,0
10548107,-0.000712747,0.00661864,-0.000833728,0.691248,0.712638,0.0766245,0.0919408,1.0,0.0,0.0,0.0,0
10580172,-0.000502646,0.00683331,-0.0011502,0.691272,0.712625,0.0765706,0.091894,1.0,0.0,0.0,0.0,0
10612096,-0.000294305,0.00715358,-0.00114205,0.691283,0.712625,0.0765399,0.0918431,1.0,0.0,0.0,0.0,0
10644138,0.000653575,0.00450136,0.00215196,0.691297,0.712619,0.0765086,0.0918089,1.0,0.0,0.0,0.0,0
10676111,-0.000406683,0.00754618,-0.000915475,0.691309,0.712611,0.0765004,0.0917905,1.0,0.0,0.0,0.0,0
10708226,0.00164915,0.00726174,0.000629249,0.6913,0.712622,0.0764949,0.0917804,1.0,0.0,0.0,0.0,0
10740197,0.00267456,0.00598766,-0.000518891,0.691293,0.712627,0.0765134,0.0917752,1.0,0.0,0.0,0.0,0
10772071,0.000783854,0.00564873,0.000252258,0.691301,0.712617,0.0765252,0.0917816,1.0,0.0,0.0,0.0,0
10804195,0.00251637,0.00745356,0.000926138,0.691302,0.712615,0.0765262,0.0917922,1.0,0.0,0.0,0.0,0
10836094,-0.000876918,0.00411932,-0.00296055,0.691307,0.712608,0.0765497,0.0917889,1.0,0.0,0.0,0.0,0
10868145,-0.00020199,0.00655399,-0.000438494,0.691311,0.712597,0.0765729,0.0918197,1.0,0.0,0.0,0.0,0
10900276,0.00221721,0.00533092,0.00071612,0.691306,0.712595,0.0766029,0.0918509,1.0,0.0,0.0,0.0,0
10932182,0.000107789,0.00754699,-0.000382843,0.69131,0.712581,0.0766505,0.0918859,1.0,0.0,0.0,0.0,0
10964209,0.000792682,0.00701042,0.00213454,0.691305,0.712581,0.07667,0.0919118,1.0,0.0,0.0,0.0,0
10996224,-0.000317907,0.00774399,-0.00057622,0.691312,0.71257,0.0766904,0.0919324,1.0,0.0,0.0,0.0,0
11028063,0.00155813,0.00765696,-0.00147938,0.691307,0.712572,0.0767003,0.091939,1.0,0.0,0.0,0.0,0
11060202,-0.0024642,0.00824059,-0.000520847,0.691309,0.712563,0.0767295,0.0919658,1.0,0.0,0.0,0.0,0
11092209,-0.00124337,0.00603353,0.00106518,0.691316,0.712551,0.0767544,0.0919862,1.0,0.0,0.0,0.0,0
11124203,0.000499556,0.00609948,-0.00121235,0.691325,0.712537,0.0767706,0.092018,1.0,0.0,0.0,0.0,0
11156114,0.000731512,0.00862275,0.000473405,0.691325,0.712533,0.0767845,0.0920401,1.0,0.0,0.0,0.0,0
11188249,0.000730873,0.00625367,0.000408212,0.691324,0.712531,0.0767876,0.0920574,1.0,0.0,0.0,0.0,0
11220216,-0.000456859,0.0071425,0.00133463,0.691329,0.712523,0.076793,0.0920767,1.0,0.0,0.0,0.0,0
11252208,0.000504143,0.00540054,-0.000373309,0.691331,0.712518,0.0768114,0.0920856,1.0,0.0,0.0,0.0,0
11284139,-0.00196685,0.00587002,-0.00128314,0.691342,0.71251,0.0768017,0.0920741,1.0,0.0,0.0,0.0,0
11316128,-0.00344654,0.00548604,-0.000183638,0.691341,0.712514,0.0767931,0.0920614,1.0,0.0,0.0,0.0,0
11348160,0.00218613,0.00589528,0.000687064,0.691341,0.712513,0.0767938,0.0920618,1.0,0.0,0.0,0.0,0
11380284,0.002671,0.00522453,-0.00306181,0.69134,0.712514,0.0768057,0.0920498,1.0,0.0,0.0,0.0,0
11412121,0.00255306,0.0057412,-6.89318e-05,0.691348,0.712508,0.0768006,0.0920385,1.0,0.0,0.0,0.0,0
11440344,0.00315509,0.00551487,-0.000853704,0.691355,0.712502,0.0768078,0.0920311,1.0,0.0,0.0,0.0,0
11472106,0.00273733,0.00533919,0.00108536,0.691351,0.712507,0.0768053,0.0920207,1.0,0.0,0.0,0.0,0
