timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],n_states,vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,nan_flags,health_flags,timeout_flags,pre_flt_fail
2930402,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81257e-10,6.78786e-06,0.000588612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
3131943,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24408e-10,8.42105e-06,0.000742131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
3336847,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.60127e-10,9.76727e-06,0.00074087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
3536969,0.697393,0.715951,0.0129058,0.0298458,-3.85499e-05,-0.00265415,-0.0113726,6.72445e-07,-8.25096e-05,0.0312533,6.11597e-09,-4.03472e-05,1.07889e-06,3.64916e-09,1.49055e-07,-3.5795e-09,0.341271,0.00166094,0.429337,0.0,0.0,0.0,0.0,0.0,0.0,2.7478e-10,1.01435e-05,0.000530881,0.00130252,0.00123353,0.00176995,0.0017839,13.6719,13.6735,0.56247,0.0908853,0.0908866,0.668781,6.4e-07,6.38829e-07,6.39999e-07,2.56e-06,2.56e-06,2.56e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.233188,0.0,1.50418e-06,0.0432624,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
3736950,0.697151,0.71415,0.0351371,0.0523024,0.00244826,-0.00803277,-0.0275111,0.00013109,-0.000465207,0.0281246,8.47912e-08,-0.000194585,4.83243e-06,1.01918e-08,2.67646e-07,1.78852e-08,0.341271,0.00166094,0.429337,0.0,0.0,0.0,0.0,0.0,0.0,2.69567e-10,1.02605e-05,0.000456498,0.00141154,0.00134029,0.00166871,0.00169433,1.79424,1.80014,0.556486,0.0635299,0.0635506,0.28142,6.39982e-07,6.21326e-07,6.39971e-07,2.55982e-06,2.55992e-06,2.55982e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.122685,0.0,9.21541e-06,0.00515026,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
3940988,0.697096,0.713001,0.0437549,0.0614152,0.00610352,-0.0145188,0.00790071,0.000450691,-0.00119222,0.121186,5.52828e-08,-0.000285421,6.96232e-06,-1.433e-07,-7.89262e-06,4.32661e-07,0.341271,0.00166094,0.429337,0.0,0.0,0.0,0.0,0.0,0.0,2.77328e-10,1.06731e-05,0.000386884,0.00160615,0.0015293,0.00178817,0.00181999,0.476838,0.489751,0.529202,0.0373093,0.0373988,0.194268,6.39497e-07,5.72973e-07,6.39461e-07,2.55861e-06,2.55898e-06,2.55861e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.296643,0.0,2.58504e-05,0.020337,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
4145033,0.696882,0.712009,0.0510742,0.0692141,0.0116853,-0.0241078,0.00939768,0.00129757,-0.00282772,0.146755,-5.96661e-07,-0.000369093,8.94256e-06,3.30045e-08,-1.08091e-05,1.3637e-06,0.341271,0.00166094,0.429337,0.0,0.0,0.0,0.0,0.0,0.0,2.83938e-10,1.09683e-05,0.000309397,0.00185267,0.00176842,0.00205974,0.00209523,0.307476,0.330881,0.482698,0.0316968,0.0320588,0.181326,6.35885e-07,5.08062e-07,6.35783e-07,2.55437e-06,2.55564e-06,2.55442e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.00607587,0.0,5.22419e-05,0.000390894,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
4344898,0.696302,0.711198,0.0585988,0.0769874,0.0171708,-0.0298683,0.0491823,0.002219,-0.0042281,0.20665,-3.61728e-06,-0.000450157,1.16748e-05,4.93633e-07,-2.73419e-05,4.38673e-06,0.341271,0.00166094,0.429337,0.0,0.0,0.0,0.0,0.0,0.0,2.9704e-10,1.11434e-05,0.000289954,0.00197666,0.00189111,0.00225783,0.00229186,0.299694,0.32624,0.411519,0.0265348,0.0271466,0.174779,6.18769e-07,4.29396e-07,6.18041e-07,2.54301e-06,2.54664e-06,2.54352e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.00252213,0.0,8.95778e-05,0.00142353,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
4546547,0.695462,0.710951,0.0640351,0.0823408,0.0211186,-0.0319002,0.0420548,0.00326959,-0.00542978,0.220329,-9.94119e-06,-0.000471812,1.47648e-05,1.99949e-06,-2.92807e-05,8.4146e-06,0.341271,0.00166094,0.429337,0.0,0.0,0.0,0.0,0.0,0.0,3.03451e-10,1.10366e-05,0.000529862,0.00191671,0.00183673,0.00228829,0.0023163,0.344426,0.365408,0.344958,0.0279928,0.0287796,0.178531,5.80671e-07,3.50075e-07,5.77162e-07,2.52724e-06,2.53202e-06,2.52908e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.000291604,0.0,0.000109936,0.0246809,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
4747457,0.694271,0.711028,0.0694036,0.0872349,0.019876,-0.0273325,0.095846,0.00345621,-0.00510286,0.30034,-1.94714e-05,-0.000486057,1.96982e-05,3.19004e-06,-6.36656e-05,1.38559e-05,0.341271,0.00166094,0.429337,0.0,0.0,0.0,0.0,0.0,0.0,3.05176e-10,1.08801e-05,0.000562013,0.00161674,0.00155029,0.00203351,0.0020519,0.334521,0.34274,0.277243,0.0273019,0.0277825,0.172551,5.15887e-07,2.72845e-07,5.05485e-07,2.51117e-06,2.50763e-06,2.51513e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530,0.0,0.0,0.00845045,0.0,0.000108317,0.0066809,0.0,0.0,0.0,0.0,0,0,0,164,0,0,0,0
