timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
3575460,inf,1,0,0,0
4591459,inf,1,0,0,0
5602461,inf,1,0,0,0
6618472,inf,1,0,0,0
7637792,inf,1,0,0,0
8652646,inf,1,0,0,0
9670301,inf,1,0,0,0
10671500,inf,1,0,0,0
11685482,inf,1,0,0,0
12702279,inf,1,0,0,0
13714483,inf,1,0,0,0
14729540,inf,1,0,0,0
15742305,inf,1,0,0,0
16760600,inf,1,0,0,0
17776566,inf,1,0,0,0
18793480,inf,1,0,0,0
19808636,inf,1,0,0,0
20817107,inf,1,0,0,0
21828168,inf,1,0,0,0
22841509,inf,1,0,0,0
23855474,inf,1,0,0,0
24873486,inf,1,0,0,0
25888530,inf,1,0,0,0
26903471,inf,1,0,0,0
27918470,inf,1,0,0,0
28931469,inf,1,0,0,0
29947894,inf,1,0,0,0
30960600,inf,1,0,0,0
31979481,inf,1,0,0,0
32997472,inf,1,0,0,0
34012692,inf,1,0,0,0
35017471,inf,1,0,0,0
36027481,inf,1,0,0,0
37041487,inf,1,0,0,0
38043470,inf,1,0,0,0
39057470,inf,1,0,0,0
40075470,inf,1,0,0,0
41076642,inf,1,0,0,0
42083731,inf,1,0,0,0
43098528,inf,1,0,0,0
44114469,inf,1,0,0,0
45129524,inf,1,0,0,0
46146470,inf,1,0,0,0
47155096,inf,1,0,0,0
48157490,inf,1,0,0,0
49166522,inf,1,0,0,0
50185512,inf,1,0,0,0
51198484,inf,1,0,0,0
52211484,inf,1,0,0,0
53225566,inf,1,0,0,0
54241496,inf,1,0,0,0
55257557,inf,1,0,0,0
56258249,inf,1,0,0,0
57272600,inf,1,0,0,0
58283049,inf,1,0,0,0
59296669,inf,1,0,0,0
60301551,inf,1,0,0,0
61313503,inf,1,0,0,0
62328674,inf,1,0,0,0
63335485,inf,1,0,0,0
64348118,inf,1,0,0,0
65360633,inf,1,0,0,0
66378369,inf,1,0,0,0
67394414,inf,1,0,0,0
68407472,inf,1,0,0,0
69427470,inf,1,0,0,0
70440791,inf,1,0,0,0
71457500,inf,1,0,0,0
72470473,inf,1,0,0,0
73490393,inf,1,0,0,0
74506581,inf,1,0,0,0
75527130,inf,1,0,0,0
76541680,inf,1,0,0,0
77555494,inf,1,0,0,0
78571855,inf,1,0,0,0
79585473,inf,1,0,0,0
80600567,inf,1,0,0,0
81614502,inf,1,0,0,0
82632683,inf,1,0,0,0
83641563,inf,1,0,0,0
84656600,inf,1,0,0,0
85669481,inf,1,0,0,0
86690470,inf,1,0,0,0
87707479,inf,1,0,0,0
88727292,inf,1,0,0,0
89745517,inf,1,0,0,0
90762470,inf,1,0,0,0
91763475,inf,1,0,0,0
92777470,inf,1,0,0,0
93791480,inf,1,0,0,0
94808746,inf,1,0,0,0
95819483,inf,1,0,0,0
96837522,inf,1,0,0,0
97839483,inf,1,0,0,0
98856527,inf,1,0,0,0
99870470,inf,1,0,0,0
100870610,inf,1,0,0,0
101881592,inf,1,0,0,0
102899053,inf,1,0,0,0
103912583,inf,1,0,0,0
104931039,inf,1,0,0,0
105942476,inf,1,0,0,0
106961469,inf,1,0,0,0
107973469,inf,1,0,0,0
108983470,inf,1,0,0,0
110003481,inf,1,0,0,0
111015484,inf,1,0,0,0
112031934,inf,1,0,0,0
