timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
4108634,4108479,0.000979005,0.000183374,-0.000951069,0.0,0.0,0.0,0.0,-1.0
4112618,4112479,0.000971052,-5.29521e-05,-0.000949727,0.0,0.0,0.0,0.0,-1.0
4212608,4212479,0.000662174,-0.000613078,-0.000311192,0.0,0.0,0.0,0.0,-1.0
4316642,4316455,0.000130499,-0.000749157,-0.000275956,0.0,0.0,0.0,0.0,-1.0
4416703,4416486,0.00171508,-0.000166732,-0.00136591,0.0,0.0,0.0,0.0,-1.0
4518253,4518090,0.00109743,-0.00065611,-0.000846114,0.0,0.0,0.0,0.0,-1.0
4619049,4618879,0.00123473,-0.000527142,-0.00074562,0.0,0.0,0.0,0.0,-1.0
4723027,4722892,0.00107594,-0.00017135,-0.00143498,0.0,0.0,0.0,0.0,-1.0
4823034,4822868,0.000461222,-0.00104952,-0.00103026,0.0,0.0,0.0,0.0,-1.0
4923023,4922855,0.000933534,-0.000115116,-0.00130241,0.0,0.0,0.0,0.0,-1.0
5027025,5026886,0.0014038,-0.000660774,-0.00128293,0.0,0.0,0.0,0.0,-1.0
5127023,5126886,0.000894715,-0.00025039,-0.0010272,0.0,0.0,0.0,0.0,-1.0
5227104,5226927,0.00108924,-0.000484153,-0.001034,0.0,0.0,0.0,0.0,-1.0
5331064,5330894,0.000899215,-0.00130892,-0.000782008,0.0,0.0,0.0,0.0,-1.0
5431024,5430897,0.000743255,-0.000120786,-0.000665178,0.0,0.0,0.0,0.0,-1.0
5535070,5534889,0.00174464,-0.000548249,-0.00112385,0.0,0.0,0.0,0.0,-1.0
5634979,5634855,0.00140333,-0.000818455,-0.000775019,0.0,0.0,0.0,0.0,-1.0
5735015,5734884,0.00124214,-0.000256104,-0.000942803,0.0,0.0,0.0,0.0,-1.0
5839029,5838905,0.000354563,-0.000731423,-0.000405005,0.0,0.0,0.0,0.0,-1.0
5939075,5938879,0.00062599,-0.000996682,-0.00118912,0.0,0.0,0.0,0.0,-1.0
6040658,6040485,0.00075657,-0.000337778,-0.000782966,0.0,0.0,0.0,0.0,-1.0
6140669,6140455,0.00126549,-0.000933357,-0.000706046,0.0,0.0,0.0,0.0,-1.0
6244648,6244479,0.000961192,-0.000391751,-0.000518148,0.0,0.0,0.0,0.0,-1.0
6344615,6344478,0.000685386,-0.00094305,-0.000306822,0.0,0.0,0.0,0.0,-1.0
6448621,6448486,0.0010936,-0.000737196,-0.000922523,0.0,0.0,0.0,0.0,-1.0
6548609,6548479,0.000457686,-0.000281391,-0.00037114,0.0,0.0,0.0,0.0,-1.0
6648621,6648485,0.000728755,-0.000669343,-0.00101165,0.0,0.0,0.0,0.0,-1.0
6752641,6752479,0.000644704,-0.000577432,-0.000283508,0.0,0.0,0.0,0.0,-1.0
6852664,6852455,0.00104898,-0.000500862,-0.000940239,0.0,0.0,0.0,0.0,-1.0
6952612,6952455,0.000884164,-0.000179618,-0.00073666,0.0,0.0,0.0,0.0,-1.0
7056655,7056478,0.000613204,-0.000186396,-0.000845752,0.0,0.0,0.0,0.0,-1.0
7156657,7156478,0.00106538,-0.000723276,-0.000800259,0.0,0.0,0.0,0.0,-1.0
7260624,7260486,0.00142754,-0.000111491,-0.000977837,0.0,0.0,0.0,0.0,-1.0
7364654,7364479,-0.000559683,-0.00140631,-0.000832714,0.0,0.0,0.0,0.0,-1.0
7464657,7464479,0.000620654,-0.000298974,-0.0010484,0.0,0.0,0.0,0.0,-1.0
7568667,7568492,0.00156381,-0.000536481,-0.00045524,0.0,0.0,0.0,0.0,-1.0
7668636,7668455,0.00116648,-0.00114805,-0.00142543,0.0,0.0,0.0,0.0,-1.0
7770297,7770129,0.0013745,-0.00104253,-0.000975371,0.0,0.0,0.0,0.0,-1.0
7870240,7870086,0.00129177,-0.000690717,-0.00104599,0.0,0.0,0.0,0.0,-1.0
7974206,7974078,0.000725388,-0.000475325,-0.00102762,0.0,0.0,0.0,0.0,-1.0
8074206,8074079,0.00106458,-0.000856647,-0.000701029,0.0,0.0,0.0,0.0,-1.0
8174226,8174085,0.00119088,-0.000734726,-0.00106963,0.0,0.0,0.0,0.0,-1.0
8278196,8278055,-0.576214,0.0259016,-0.00993677,0.0,0.0,0.0,0.0,-1.0
8378265,8378078,-0.576219,0.0254452,-0.00993049,0.0,0.0,0.0,0.0,-1.0
8482289,8482079,-0.576586,0.0257313,-0.0103814,0.0,0.0,0.0,0.0,-1.0
8583094,8582879,-0.575934,0.0252528,-0.0103878,0.0,0.0,0.0,0.0,-1.0
8683879,8683655,-0.576216,0.0253988,-0.0104748,0.0,0.0,0.0,0.0,-1.0
