timestamp,load,ram_usage
3277746,0.586059,0.870367
4279141,0.486087,0.875246
5280257,0.704717,0.880328
6281785,0.514558,0.878905
7282602,0.524836,0.882971
8284182,0.525341,0.870502
9287982,0.592685,0.873958
10288531,0.589377,0.873958
11289721,0.588716,0.872264
12290505,0.572766,0.872332
13290546,0.586023,0.873958
14291435,0.588778,0.873958
15292501,0.57497,0.872264
16294940,0.580825,0.872332
17297049,0.580839,0.873958
18301112,0.583142,0.873958
19303211,0.577126,0.872264
20306232,0.573779,0.872332
21305760,0.596553,0.873958
22306747,0.585833,0.873958
23309458,0.573992,0.872264
24311365,0.576676,0.872332
25313364,0.568871,0.873958
26315806,0.586422,0.873958
27316873,0.574257,0.872264
28319206,0.58809,0.872332
29319824,0.586463,0.873958
30322626,0.586085,0.873958
31323435,0.575745,0.872264
32325837,0.574732,0.872332
33329364,0.578575,0.871722
34330435,0.598128,0.873958
35332235,0.574555,0.872264
36333489,0.580637,0.872332
37335308,0.578503,0.871722
38337958,0.586656,0.873958
39340712,0.577525,0.872264
40342729,0.572896,0.872332
41343959,0.577111,0.871722
42345873,0.595677,0.873958
43347500,0.577558,0.872264
44349788,0.58354,0.872332
45352272,0.579622,0.871722
46353731,0.584122,0.873958
47355061,0.580159,0.872264
48355435,0.569787,0.872332
49356604,0.574276,0.871722
50358643,0.585971,0.873958
51360508,0.577486,0.872264
52363991,0.561817,0.872332
53366554,0.572307,0.871722
54369025,0.589573,0.873958
55370439,0.571247,0.872264
56371435,0.572511,0.872332
57372531,0.576011,0.871722
58373485,0.592414,0.873958
59374438,0.563711,0.872264
60375435,0.57849,0.872332
61376700,0.577295,0.871722
62376562,0.593262,0.873958
63379474,0.574897,0.872264
64382113,0.573553,0.872332
65384973,0.572096,0.871722
66387117,0.584616,0.873958
67387452,0.576949,0.872264
68388815,0.575605,0.872332
69391399,0.574598,0.871722
70392963,0.588498,0.873958
71393471,0.574491,0.872264
72394559,0.56863,0.872332
73395440,0.571238,0.871722
74396738,0.594517,0.873958
75398355,0.58234,0.872264
76399941,0.577466,0.872332
77400661,0.568962,0.871722
78401729,0.59835,0.873958
79402934,0.567485,0.872264
80404039,0.578471,0.872332
81404754,0.577833,0.871722
82407115,0.591064,0.873958
83407435,0.586797,0.872264
84409484,0.581606,0.872332
85410942,0.571748,0.871722
86412589,0.58162,0.873958
87413435,0.57493,0.872264
88417357,0.578826,0.872332
89418666,0.575789,0.871722
90423225,0.594567,0.873958
91424650,0.574849,0.872264
92427836,0.572262,0.872332
93429923,0.574954,0.871722
94430376,0.598624,0.873958
95431435,0.586405,0.872264
96435062,0.584914,0.872332
97435992,0.585107,0.871722
98437813,0.588349,0.873958
99438584,0.564382,0.872264
100441594,0.567034,0.872332
101442435,0.577814,0.871722
102443804,0.582555,0.873958
103444787,0.582266,0.872264
104445501,0.57698,0.872332
105446708,0.577982,0.871722
106448517,0.58223,0.873958
107449828,0.577811,0.872264
108450719,0.579731,0.872332
109456757,0.582193,0.871722
110457435,0.593876,0.873958
111460068,0.583383,0.872264
112461044,0.578828,0.872332
113463460,0.571763,0.871722
114465485,0.603924,0.873958
115468851,0.577316,0.872264
116469485,0.578994,0.872332
117473038,0.583583,0.871722
118474590,0.594809,0.873958
119476548,0.570873,0.872264
120477534,0.568936,0.872332
121478471,0.579585,0.871722
122479435,0.586598,0.873958
123480649,0.574246,0.872264
124481435,0.581739,0.872332
125484707,0.573071,0.871722
126486563,0.603158,0.873958
127487776,0.583759,0.872264
128490538,0.573434,0.872332
129493373,0.570543,0.871722
130496535,0.592645,0.873958
131498921,0.570192,0.872264
132499435,0.57327,0.872332
133500542,0.572199,0.871722
134501512,0.597521,0.873958
135502435,0.587688,0.872264
136505784,0.575511,0.872332
137507314,0.579175,0.871722
138510149,0.592809,0.873958
139510435,0.56951,0.872264
140514186,0.563554,0.872332
141514586,0.590152,0.871722
142516866,0.592236,0.873958
143517471,0.580404,0.872264
144518703,0.582619,0.872332
145519899,0.566623,0.872332
146521356,0.588458,0.873958
147522622,0.586315,0.872264
148523435,0.586272,0.872332
149526620,0.579615,0.872332
150529838,0.597877,0.873958
151531243,0.579296,0.872264
152531446,0.573595,0.872332
153534472,0.569789,0.872332
154536974,0.584822,0.873958
155538534,0.575217,0.872264
156539493,0.581713,0.872332
157540753,0.579925,0.872332
158543002,0.589633,0.873958
159543542,0.579302,0.872264
160547053,0.56977,0.872332
161547956,0.573056,0.872332
162550297,0.592407,0.873958
163552082,0.583176,0.872264
164553299,0.588164,0.872332
165556078,0.575046,0.872332
166556683,0.59089,0.873958
167559445,0.574597,0.872264
168560947,0.575203,0.872332
169562971,0.5849,0.872332
170565156,0.593133,0.873958
171566522,0.576918,0.872264
172567435,0.576297,0.872332
173568601,0.571007,0.872332
174570615,0.588772,0.873958
175573001,0.579453,0.872264
176574550,0.590405,0.872332
177575278,0.58582,0.872332
178578305,0.590965,0.873958
179579913,0.580046,0.872264
180580836,0.569392,0.872332
181582720,0.570009,0.872332
182583837,0.592869,0.873958
183584810,0.579891,0.872264
184585603,0.578096,0.872332
185586636,0.588962,0.872332
186588336,0.593536,0.873958
187589526,0.5686,0.872264
188590609,0.570733,0.872332
189592032,0.584456,0.872332
190595377,0.589118,0.873958
191596825,0.574968,0.872264
192597583,0.577448,0.872264
193598622,0.578268,0.872332
194599872,0.580467,0.873958
195602205,0.576476,0.872264
196604710,0.574359,0.872264
197607529,0.582721,0.872332
198608641,0.58899,0.873958
199610456,0.584536,0.873958
200614152,0.567906,0.872264
201615439,0.568256,0.872332
202617854,0.589891,0.873958
203619119,0.583227,0.873958
204620771,0.576431,0.872264
205621435,0.577544,0.872332
206623818,0.582752,0.873958
207625704,0.58294,0.873958
208626471,0.584532,0.872264
209627750,0.581166,0.872332
210628596,0.58801,0.873958
211631157,0.586632,0.873958
212634191,0.579679,0.872264
213634435,0.574247,0.872332
214636315,0.567603,0.873958
215638344,0.590725,0.873958
216640705,0.57885,0.872264
217644935,0.57546,0.872332
218647159,0.582012,0.873958
219647441,0.585878,0.873958
220648834,0.577147,0.872264
221650139,0.575388,0.872332
222652893,0.595237,0.873958
223655917,0.591674,0.873958
224656523,0.580631,0.872264
225657435,0.575134,0.872332
226659755,0.575745,0.871722
227663353,0.584685,0.873958
228664625,0.567668,0.872264
229666223,0.575084,0.872332
230666435,0.573058,0.871722
231668874,0.589144,0.873958
232669435,0.574186,0.872264
233670437,0.578502,0.872332
234675385,0.577414,0.871722
235675435,0.58765,0.873958
236677135,0.585218,0.872264
237678893,0.574833,0.872332
238679435,0.572166,0.871722
239680731,0.584598,0.873958
240684596,0.572853,0.872264
241685618,0.565826,0.872332
242687375,0.579983,0.871722
243689882,0.597961,0.873958
244690435,0.579055,0.872264
245692607,0.58335,0.872332
246693476,0.57391,0.871722
247695196,0.599955,0.873958
248695954,0.571862,0.872264
249697052,0.580044,0.872332
250697435,0.576596,0.871722
251698435,0.590144,0.873958
252700345,0.576245,0.872264
253701515,0.581182,0.872332
254703003,0.570184,0.871722
255705115,0.583049,0.873958
256707702,0.574453,0.872264
257709544,0.576509,0.872332
258710474,0.57226,0.871722
259712209,0.586995,0.873958
260713602,0.577223,0.872264
261714965,0.576423,0.872332
262717004,0.574593,0.871722
263718604,0.591588,0.873958
264719435,0.577644,0.872264
265722183,0.582618,0.872332
266723787,0.584615,0.871722
267724659,0.592832,0.873958
268725911,0.567942,0.872264
269727945,0.584481,0.872332
270729650,0.575569,0.871722
271730471,0.587879,0.873958
272732181,0.577646,0.872264
273733589,0.578642,0.872332
274734514,0.576001,0.871722
275735471,0.587442,0.873958
276737805,0.578331,0.872264
277739901,0.578234,0.872332
278743117,0.57327,0.871722
279744371,0.587208,0.873958
280747471,0.575106,0.872264
281749640,0.569017,0.872332
282751189,0.569007,0.871722
283750517,0.593246,0.873958
284751435,0.572259,0.872264
285752666,0.576927,0.872332
286755031,0.578509,0.871722
287756962,0.589509,0.873958
